Entity,Code,Year,"Hazardous waste generated, per capita (Kg)"
Singapore,SGP,2011,81.91
Singapore,SGP,2012,53.99
Singapore,SGP,2013,60.75
Singapore,SGP,2014,73.81
Singapore,SGP,2015,79.09
Singapore,SGP,2016,83.86
Singapore,SGP,2017,81.79
Singapore,SGP,2018,92.59
Singapore,SGP,2019,76.71
Singapore,SGP,2020,60.77
Slovakia,SVK,2004,79
Slovakia,SVK,2006,99
Slovakia,SVK,2008,98
Slovakia,SVK,2010,77
Slovakia,SVK,2012,68
Slovakia,SVK,2014,69
Slovakia,SVK,2016,91
Slovakia,SVK,2018,83
Slovakia,SVK,2020,80
Slovakia,SVK,2022,91
Slovenia,SVN,2004,54
Slovenia,SVN,2006,58
Slovenia,SVN,2008,76
Slovenia,SVN,2010,57
Slovenia,SVN,2012,65
Slovenia,SVN,2014,75
Slovenia,SVN,2016,60
Slovenia,SVN,2018,62
Slovenia,SVN,2020,63
Slovenia,SVN,2022,63
South Africa,ZAF,2011,25.15
South Africa,ZAF,2017,919.41
Spain,ESP,2004,73
Spain,ESP,2006,91
Spain,ESP,2008,79
Spain,ESP,2010,64
Spain,ESP,2012,67
Spain,ESP,2014,64
Spain,ESP,2016,68
Spain,ESP,2018,69
Spain,ESP,2020,70
Spain,ESP,2022,74
Suriname,SUR,2008,0.01
Suriname,SUR,2009,0.01
Suriname,SUR,2010,0.01
Suriname,SUR,2011,0.01
Suriname,SUR,2012,0.01
Suriname,SUR,2013,0.01
Suriname,SUR,2014,0.01
Suriname,SUR,2015,0.01
Suriname,SUR,2016,0.01
Suriname,SUR,2017,0
Suriname,SUR,2018,0
Suriname,SUR,2019,0
Suriname,SUR,2020,0
Suriname,SUR,2021,0
Sweden,SWE,2004,181
Sweden,SWE,2006,292
Sweden,SWE,2008,224
Sweden,SWE,2010,270
Sweden,SWE,2012,283
Sweden,SWE,2014,265
Sweden,SWE,2016,240
Sweden,SWE,2018,283
Sweden,SWE,2020,768
Sweden,SWE,2022,684
Syria,SYR,2003,0
Tanzania,TZA,2000,0
Tanzania,TZA,2001,0
Tanzania,TZA,2002,0
Tanzania,TZA,2003,0
Tanzania,TZA,2004,0
Tanzania,TZA,2005,0
Tanzania,TZA,2006,0
Tanzania,TZA,2007,0
Tanzania,TZA,2008,0
Tanzania,TZA,2009,0
Tanzania,TZA,2010,0
Tanzania,TZA,2011,0
Tanzania,TZA,2012,0
Tanzania,TZA,2013,0
Tanzania,TZA,2014,0
Tanzania,TZA,2015,0
Tanzania,TZA,2017,0
Tanzania,TZA,2018,0
Tanzania,TZA,2019,0
Tanzania,TZA,2020,0
Tanzania,TZA,2021,0
Thailand,THA,2000,26.15
Thailand,THA,2001,26.36
Thailand,THA,2002,27.58
Thailand,THA,2003,27.79
Thailand,THA,2004,27.68
Thailand,THA,2005,27.55
Thailand,THA,2006,27.63
Thailand,THA,2007,27.67
Thailand,THA,2008,46.56
Thailand,THA,2009,45.25
Thailand,THA,2010,46.29
Thailand,THA,2011,49.48
Thailand,THA,2012,68.11
Thailand,THA,2013,47.47
Thailand,THA,2014,38.49
Thailand,THA,2015,49.01
Thailand,THA,2016,49.03
Thailand,THA,2017,37.05
Thailand,THA,2018,26.62
Thailand,THA,2019,28.63
Thailand,THA,2020,27.79
Thailand,THA,2021,31.56
Togo,TGO,2007,0.31
Togo,TGO,2013,0.16
Trinidad and Tobago,TTO,2003,8.46
Trinidad and Tobago,TTO,2004,22.86
Trinidad and Tobago,TTO,2005,23.28
Trinidad and Tobago,TTO,2006,22.92
Trinidad and Tobago,TTO,2007,25.67
Trinidad and Tobago,TTO,2008,30.08
Trinidad and Tobago,TTO,2013,86.39
Trinidad and Tobago,TTO,2014,85.26
Trinidad and Tobago,TTO,2015,84.86
Tunisia,TUN,2001,15.11
Tunisia,TUN,2002,14.88
Turkey,TUR,2004,15
Turkey,TUR,2006,0
Turkey,TUR,2008,14
Turkey,TUR,2010,44
Turkey,TUR,2012,53
Turkey,TUR,2014,44
Turkey,TUR,2016,70
Turkey,TUR,2018,183
Turkey,TUR,2020,368
Turkey,TUR,2022,318
Ukraine,UKR,2000,53.46
Ukraine,UKR,2001,52.53
Ukraine,UKR,2002,36.03
Ukraine,UKR,2003,51.19
Ukraine,UKR,2004,51.21
Ukraine,UKR,2005,51.41
Ukraine,UKR,2006,50.89
Ukraine,UKR,2007,55.82
Ukraine,UKR,2008,49.96
Ukraine,UKR,2009,26.83
Ukraine,UKR,2010,36.34
Ukraine,UKR,2011,31.52
Ukraine,UKR,2012,30.13
Ukraine,UKR,2013,20.39
Ukraine,UKR,2014,16.38
Ukraine,UKR,2015,13.06
Ukraine,UKR,2016,13.85
Ukraine,UKR,2017,13.55
Ukraine,UKR,2018,14.12
Ukraine,UKR,2019,12.51
United Arab Emirates,ARE,2010,40.17
United Arab Emirates,ARE,2011,43.18
United Arab Emirates,ARE,2012,42.59
United Arab Emirates,ARE,2013,42.71
United Arab Emirates,ARE,2014,49.37
United Arab Emirates,ARE,2015,46.66
United Arab Emirates,ARE,2016,40.98
United Arab Emirates,ARE,2017,56.31
United Arab Emirates,ARE,2018,66.84
United Arab Emirates,ARE,2019,75.7
United Arab Emirates,ARE,2020,44.8
Uzbekistan,UZB,2014,1.26
Uzbekistan,UZB,2015,1.27
Uzbekistan,UZB,2016,1.36
Uzbekistan,UZB,2017,2.64
Uzbekistan,UZB,2018,2.91
Uzbekistan,UZB,2019,2.75
Uzbekistan,UZB,2020,2.77
Uzbekistan,UZB,2021,2.75
